College,Year,Games,Wins
Morgan St.,2019,28,9
Norfolk St.,2019,33,22
North Carolina A&T,2019,30,19
Savannah St.,2019,30,11
South Carolina St.,2019,32,8
Bradley,2015,32,8
Drake,2015,30,8
Evansville,2015,35,23
Illinois St.,2015,34,21
Indiana St.,2015,30,14
Loyola Chicago,2015,35,22
Missouri St.,2015,29,9
Southern Illinois,2015,32,11
Bradley,2016,31,4
Drake,2016,30,6
Evansville,2016,33,24
Illinois St.,2016,31,17
Indiana St.,2016,31,14
Loyola Chicago,2016,31,14
Missouri St.,2016,31,12
Southern Illinois,2016,32,22
Bradley,2017,32,13
Drake,2017,29,7
Evansville,2017,31,16
Illinois St.,2017,34,28
Indiana St.,2017,30,11
Loyola Chicago,2017,30,18
Missouri St.,2017,32,17
Northern Iowa,2017,29,14
Southern Illinois,2017,32,17
Bradley,2018,32,20
Drake,2018,33,17
Evansville,2018,30,17
Illinois St.,2018,32,18
Indiana St.,2018,29,13
Missouri St.,2018,32,18
Northern Iowa,2018,30,16
Southern Illinois,2018,32,20
Valparaiso,2018,30,15
Drake,2019,32,24
Evansville,2019,30,11
Illinois St.,2019,32,17
Indiana St.,2019,29,15
Loyola Chicago,2019,33,20
Missouri St.,2019,31,16
Northern Iowa,2019,32,16
Southern Illinois,2019,32,17
Valparaiso,2019,31,15
Air Force,2015,29,12
Colorado St.,2015,33,26
Fresno St.,2015,30,13
Nevada,2015,29,7
New Mexico,2015,31,15
San Jose St.,2015,28,0
UNLV,2015,32,17
Utah St.,2015,30,17
Air Force,2016,30,12
Boise St.,2016,30,18
Colorado St.,2016,32,16
Nevada,2016,36,22
New Mexico,2016,32,17
San Diego St.,2016,36,26
San Jose St.,2016,28,6
UNLV,2016,31,16
Utah St.,2016,29,14
Wyoming,2016,30,12
Air Force,2017,31,12
Boise St.,2017,31,20
Colorado St.,2017,34,24
Fresno St.,2017,31,20
New Mexico,2017,31,17
San Diego St.,2017,32,19
San Jose St.,2017,28,14
UNLV,2017,32,11
Utah St.,2017,30,15
Wyoming,2017,36,23
Air Force,2018,29,12
Boise St.,2018,31,23
Colorado St.,2018,31,11
Fresno St.,2018,30,21
New Mexico,2018,33,19
San Jose St.,2018,29,4
UNLV,2018,33,20
Utah St.,2018,33,17
Wyoming,2018,32,20
Air Force,2019,31,14
Boise St.,2019,32,13
Colorado St.,2019,31,12
Fresno St.,2019,31,23
New Mexico,2019,31,14
San Diego St.,2019,33,21
San Jose St.,2019,30,4
UNLV,2019,31,17
Wyoming,2019,31,8
Bryant,2015,31,16
Central Connecticut,2015,31,5
Fairleigh Dickinson,2015,28,7
LIU Brooklyn,2015,30,12
Mount St. Mary's,2015,30,15
Sacred Heart,2015,31,14
St. Francis NY,2015,34,22
St. Francis PA,2015,31,15
Wagner,2015,29,9
Bryant,2016,30,7
Central Connecticut,2016,29,4
LIU Brooklyn,2016,31,16
Mount St. Mary's,2016,33,14
Robert Morris,2016,32,10
Sacred Heart,2016,30,12
St. Francis NY,2016,31,14
St. Francis PA,2016,29,12
Wagner,2016,33,22
Bryant,2017,31,12
Central Connecticut,2017,29,6
Fairleigh Dickinson,2017,29,11
LIU Brooklyn,2017,31,20
Robert Morris,2017,33,14
Sacred Heart,2017,32,13
St. Francis NY,2017,30,4
St. Francis PA,2017,33,17
Wagner,2017,29,16
Bryant,2018,31,3
Central Connecticut,2018,32,14
Fairleigh Dickinson,2018,29,13
Mount St. Mary's,2018,30,18
Robert Morris,2018,33,16
Sacred Heart,2018,30,10
St. Francis NY,2018,29,13
St. Francis PA,2018,29,18
Wagner,2018,31,23
Bryant,2019,30,10
Central Connecticut,2019,29,11
LIU Brooklyn,2019,31,16
Mount St. Mary's,2019,29,9
Robert Morris,2019,33,18
Sacred Heart,2019,31,15
St. Francis NY,2019,31,17
St. Francis PA,2019,31,18
Wagner,2019,28,13
Austin Peay,2015,28,6
Eastern Illinois,2015,31,16
Eastern Kentucky,2015,31,19
Jacksonville St.,2015,29,10
Morehead St.,2015,32,15
Murray St.,2015,33,27
SIU Edwardsville,2015,26,10
Southeast Missouri St.,2015,28,11
Tennessee Martin,2015,32,19
Tennessee St.,2015,29,3
Tennessee Tech,2015,28,10
Belmont,2016,31,19
Eastern Illinois,2016,28,11
Eastern Kentucky,2016,30,14
Jacksonville St.,2016,29,7
Morehead St.,2016,35,21
Murray St.,2016,29,15
SIU Edwardsville,2016,28,6
Southeast Missouri St.,2016,27,3
Tennessee Martin,2016,33,18
Tennessee St.,2016,29,18
Tennessee Tech,2016,29,17
Austin Peay,2017,28,11
Belmont,2017,29,23
Eastern Illinois,2017,27,14
Eastern Kentucky,2017,29,12
Morehead St.,2017,28,14
Murray St.,2017,31,16
SIU Edwardsville,2017,28,6
Southeast Missouri St.,2017,31,15
Tennessee Martin,2017,33,22
Tennessee St.,2017,28,17
Tennessee Tech,2017,30,12
Austin Peay,2018,32,19
Belmont,2018,33,24
Eastern Illinois,2018,29,12
Eastern Kentucky,2018,29,11
Jacksonville St.,2018,35,23
Morehead St.,2018,27,8
SIU Edwardsville,2018,30,9
Southeast Missouri St.,2018,29,14
Tennessee Martin,2018,29,10
Tennessee St.,2018,28,15
Tennessee Tech,2018,31,19
Austin Peay,2019,31,22
Eastern Illinois,2019,31,14
Eastern Kentucky,2019,29,13
Jacksonville St.,2019,31,24
Morehead St.,2019,31,13
SIU Edwardsville,2019,29,10
Southeast Missouri St.,2019,29,10
Tennessee Martin,2019,29,12
Tennessee St.,2019,28,9
Tennessee Tech,2019,29,8
Arizona St.,2015,34,18
California,2015,33,18
Colorado,2015,34,16
Oregon St.,2015,30,16
Stanford,2015,37,24
USC,2015,32,12
Washington,2015,31,16
Washington St.,2015,31,13
Arizona St.,2016,32,15
Stanford,2016,29,14
UCLA,2016,32,15
Washington,2016,34,19
Washington St.,2016,30,8
Arizona St.,2017,33,15
California,2017,34,21
Colorado,2017,33,19
Oregon St.,2017,31,5
Stanford,2017,30,14
Utah,2017,30,20
Washington,2017,31,9
Washington St.,2017,30,13
California,2018,31,8
Colorado,2018,32,17
Oregon,2018,36,23
Oregon St.,2018,32,16
Stanford,2018,35,19
USC,2018,36,24
Utah,2018,35,23
Washington,2018,34,21
Washington St.,2018,31,12
Arizona,2019,32,17
California,2019,31,8
Colorado,2019,36,23
Oregon St.,2019,31,18
Stanford,2019,31,15
UCLA,2019,33,17
USC,2019,33,16
Utah,2019,31,17
Washington St.,2019,32,11
American,2015,33,17
Army,2015,29,14
Boston University,2015,29,12
Bucknell,2015,33,18
Colgate,2015,32,15
Holy Cross,2015,29,13
Lehigh,2015,29,15
Loyola MD,2015,30,11
Navy,2015,31,12
American,2016,31,12
Army,2016,32,18
Boston University,2016,33,18
Bucknell,2016,30,16
Colgate,2016,29,12
Lafayette,2016,30,6
Lehigh,2016,31,16
Loyola MD,2016,30,9
Navy,2016,32,18
American,2017,30,8
Army,2017,31,13
Boston University,2017,31,18
Colgate,2017,31,10
Holy Cross,2017,32,15
Lafayette,2017,29,9
Lehigh,2017,31,20
Loyola MD,2017,32,16
Navy,2017,31,16
American,2018,30,6
Army,2018,29,13
Boston University,2018,30,15
Colgate,2018,32,19
Holy Cross,2018,31,12
Lafayette,2018,30,10
Lehigh,2018,29,16
Loyola MD,2018,30,9
Navy,2018,31,20
American,2019,30,15
Army,2019,31,13
Boston University,2019,32,15
Bucknell,2019,33,21
Holy Cross,2019,33,16
Lafayette,2019,29,10
Lehigh,2019,31,20
Loyola MD,2019,32,11
Navy,2019,31,12
Appalachian St.,2015,29,12
Arkansas Little Rock,2015,30,12
Arkansas St.,2015,28,10
Georgia Southern,2015,28,19
Louisiana Lafayette,2015,33,19
Louisiana Monroe,2015,34,20
South Alabama,2015,31,10
Texas St.,2015,28,11
Troy,2015,27,8
UT Arlington,2015,30,15
Appalachian St.,2016,31,9
Arkansas St.,2016,29,9
Georgia Southern,2016,29,12
Georgia St.,2016,28,14
Louisiana Lafayette,2016,32,17
Louisiana Monroe,2016,32,18
South Alabama,2016,31,12
Texas St.,2016,29,13
Troy,2016,29,8
UT Arlington,2016,34,23
Appalachian St.,2017,28,9
Arkansas St.,2017,31,20
Coastal Carolina,2017,37,20
Georgia Southern,2017,31,18
Georgia St.,2017,31,20
Little Rock,2017,30,15
Louisiana Lafayette,2017,31,21
Louisiana Monroe,2017,31,9
South Alabama,2017,30,14
Texas St.,2017,34,22
UT Arlington,2017,34,27
Appalachian St.,2018,31,15
Arkansas St.,2018,30,11
Coastal Carolina,2018,29,14
Georgia Southern,2018,31,21
Little Rock,2018,30,7
Louisiana Lafayette,2018,32,27
Louisiana Monroe,2018,29,16
South Alabama,2018,30,14
Texas St.,2018,31,15
Troy,2018,31,16
UT Arlington,2018,33,21
Appalachian St.,2019,29,11
Arkansas St.,2019,30,13
Coastal Carolina,2019,32,17
Georgia Southern,2019,31,21
Little Rock,2019,29,10
Louisiana Lafayette,2019,30,19
Louisiana Monroe,2019,34,19
South Alabama,2019,32,17
Texas St.,2019,32,24
Troy,2019,28,12
UT Arlington,2019,32,17
Chattanooga,2015,30,20
East Tennessee St.,2015,28,14
Furman,2015,31,9
Mercer,2015,33,17
Samford,2015,31,12
The Citadel,2015,27,8
UNC Greensboro,2015,30,8
VMI,2015,28,9
Western Carolina,2015,30,13
East Tennessee St.,2016,34,22
Furman,2016,33,17
Mercer,2016,32,16
Samford,2016,31,11
The Citadel,2016,29,7
UNC Greensboro,2016,31,12
VMI,2016,27,6
Western Carolina,2016,31,13
Wofford,2016,30,13
Chattanooga,2017,29,19
Furman,2017,33,23
Mercer,2017,30,15
Samford,2017,34,20
The Citadel,2017,30,12
UNC Greensboro,2017,32,25
VMI,2017,28,6
Western Carolina,2017,30,9
Wofford,2017,30,16
Chattanooga,2018,31,10
East Tennessee St.,2018,32,25
Furman,2018,31,23
Mercer,2018,32,19
Samford,2018,30,10
The Citadel,2018,29,11
VMI,2018,28,9
Western Carolina,2018,30,12
Wofford,2018,31,21
Chattanooga,2019,29,12
East Tennessee St.,2019,32,24
Furman,2019,30,25
Mercer,2019,29,11
Samford,2019,32,17
The Citadel,2019,27,12
UNC Greensboro,2019,34,29
VMI,2019,29,11
Western Carolina,2019,31,7
Alabama,2015,33,18
Auburn,2015,34,14
Florida,2015,33,16
Mississippi St.,2015,31,12
Missouri,2015,31,8
South Carolina,2015,32,16
Tennessee,2015,32,16
Texas A&M,2015,33,21
Vanderbilt,2015,34,20
Alabama,2016,33,18
Arkansas,2016,32,16
Auburn,2016,31,11
Florida,2016,36,21
Georgia,2016,34,20
LSU,2016,33,19
Mississippi,2016,32,20
Mississippi St.,2016,31,14
Missouri,2016,31,10
South Carolina,2016,33,24
Tennessee,2016,34,15
Alabama,2017,34,19
Auburn,2017,32,18
Georgia,2017,33,19
LSU,2017,31,10
Mississippi,2017,36,22
Mississippi St.,2017,32,16
Missouri,2017,32,8
Tennessee,2017,31,16
Texas A&M,2017,31,16
Georgia,2018,33,18
LSU,2018,33,18
Mississippi,2018,32,12
Mississippi St.,2018,36,25
South Carolina,2018,32,17
Vanderbilt,2018,32,12
Alabama,2019,34,18
Arkansas,2019,34,18
Georgia,2019,32,11
Missouri,2019,32,15
South Carolina,2019,31,16
Texas A&M,2019,32,14
Vanderbilt,2019,32,9
Abilene Christian,2015,28,7
Central Arkansas,2015,29,2
Houston Baptist,2015,24,8
Incarnate Word,2015,25,14
Lamar,2015,26,11
McNeese St.,2015,27,11
New Orleans,2015,26,8
Nicholls St.,2015,26,7
Northwestern St.,2015,28,15
Sam Houston St.,2015,31,22
Southeastern Louisiana,2015,31,8
Texas A&M Corpus Chris,2015,32,18
Abilene Christian,2016,27,9
Central Arkansas,2016,28,7
Houston Baptist,2016,30,13
Incarnate Word,2016,25,14
Lamar,2016,26,7
McNeese St.,2016,26,7
New Orleans,2016,27,7
Nicholls St.,2016,31,8
Northwestern St.,2016,24,5
Sam Houston St.,2016,30,15
Southeastern Louisiana,2016,31,10
Texas A&M Corpus Chris,2016,31,23
Abilene Christian,2017,25,13
Central Arkansas,2017,32,8
Houston Baptist,2017,27,17
Incarnate Word,2017,25,12
Lamar,2017,30,19
McNeese St.,2017,26,7
Nicholls St.,2017,27,14
Northwestern St.,2017,25,13
Sam Houston St.,2017,30,21
Southeastern Louisiana,2017,30,16
Stephen F. Austin,2017,30,18
Texas A&M Corpus Chris,2017,33,24
Abilene Christian,2018,28,16
Central Arkansas,2018,34,18
Houston Baptist,2018,28,6
Incarnate Word,2018,24,7
Lamar,2018,29,19
McNeese St.,2018,25,12
New Orleans,2018,30,16
Nicholls St.,2018,28,21
Northwestern St.,2018,25,4
Sam Houston St.,2018,32,21
Southeastern Louisiana,2018,31,22
Texas A&M Corpus Chris,2018,26,11
Central Arkansas,2019,30,14
Houston Baptist,2019,28,12
Incarnate Word,2019,27,6
Lamar,2019,29,20
McNeese St.,2019,27,9
New Orleans,2019,29,19
Nicholls St.,2019,27,14
Northwestern St.,2019,28,11
Sam Houston St.,2019,30,21
Southeastern Louisiana,2019,31,17
Stephen F. Austin,2019,26,14
Texas A&M Corpus Chris,2019,28,14
Denver,2015,30,12
IPFW,2015,28,13
IUPUI,2015,31,10
Nebraska Omaha,2015,28,11
Oral Roberts,2015,32,17
South Dakota,2015,31,15
South Dakota St.,2015,33,22
Western Illinois,2015,26,6
Denver,2016,31,16
IPFW,2016,32,22
IUPUI,2016,31,12
Nebraska Omaha,2016,30,16
North Dakota St.,2016,31,18
Oral Roberts,2016,29,12
South Dakota,2016,30,12
Western Illinois,2016,24,7
Denver,2017,30,16
Fort Wayne,2017,30,20
IUPUI,2017,30,14
Nebraska Omaha,2017,31,18
North Dakota St.,2017,28,19
Oral Roberts,2017,28,8
South Dakota,2017,32,22
Western Illinois,2017,26,8
Denver,2018,28,15
Fort Wayne,2018,29,18
Nebraska Omaha,2018,29,9
North Dakota St.,2018,29,15
Oral Roberts,2018,28,11
South Dakota,2018,31,26
Western Illinois,2018,24,12
Denver,2019,29,8
Fort Wayne,2019,30,18
Nebraska Omaha,2019,31,21
Oral Roberts,2019,30,11
South Dakota,2019,28,13
South Dakota St.,2019,32,24
Western Illinois,2019,29,10
Alabama A&M,2015,28,8
Alabama St.,2015,27,17
Alcorn St.,2015,30,5
Arkansas Pine Bluff,2015,32,12
Grambling St.,2015,27,0
Jackson St.,2015,32,11
Mississippi Valley St.,2015,32,6
Prairie View A&M,2015,32,14
Southern,2015,32,15
Alabama A&M,2016,28,10
Alabama St.,2016,29,12
Alcorn St.,2016,28,13
Arkansas Pine Bluff,2016,33,8
Grambling St.,2016,28,4
Jackson St.,2016,34,18
Mississippi Valley St.,2016,35,8
Prairie View A&M,2016,31,7
Texas Southern,2016,33,18
Alabama A&M,2017,29,2
Alabama St.,2017,30,8
Alcorn St.,2017,29,18
Arkansas Pine Bluff,2017,30,6
Grambling St.,2017,30,15
Jackson St.,2017,29,14
Mississippi Valley St.,2017,32,7
Prairie View A&M,2017,31,13
Southern,2017,30,15
Alabama A&M,2018,31,3
Alabama St.,2018,31,8
Alcorn St.,2018,28,11
Arkansas Pine Bluff,2018,35,14
Grambling St.,2018,30,17
Jackson St.,2018,30,12
Mississippi Valley St.,2018,32,4
Prairie View A&M,2018,33,16
Southern,2018,31,15
Alabama A&M,2019,32,5
Alabama St.,2019,29,12
Alcorn St.,2019,27,10
Arkansas Pine Bluff,2019,31,13
Grambling St.,2019,31,17
Jackson St.,2019,30,13
Mississippi Valley St.,2019,31,6
Southern,2019,31,7
Texas Southern,2019,36,24
Cal St. Bakersfield,2015,30,11
Chicago St.,2015,29,5
Grand Canyon,2015,30,15
Seattle,2015,32,16
UMKC,2015,31,12
UT Rio Grande Valley,2015,28,7
Utah Valley,2015,28,9
Chicago St.,2016,29,1
Grand Canyon,2016,32,25
New Mexico St.,2016,32,21
Seattle,2016,30,13
UMKC,2016,28,9
UT Rio Grande Valley,2016,27,5
Utah Valley,2016,27,9
Cal St. Bakersfield,2017,32,25
Chicago St.,2017,29,6
Grand Canyon,2017,29,22
Seattle,2017,27,13
UMKC,2017,32,18
UT Rio Grande Valley,2017,29,10
Utah Valley,2017,31,17
Cal St. Bakersfield,2018,27,12
Chicago St.,2018,30,3
Grand Canyon,2018,33,22
Seattle,2018,31,20
UMKC,2018,29,10
UT Rio Grande Valley,2018,31,15
Utah Valley,2018,31,23
Cal Baptist,2019,27,16
Cal St. Bakersfield,2019,31,18
Chicago St.,2019,30,3
Grand Canyon,2019,33,20
Seattle,2019,31,18
UMKC,2019,31,11
UT Rio Grande Valley,2019,35,20
Utah Valley,2019,33,25
Loyola Marymount,2015,30,7
Pacific,2015,28,9
Pepperdine,2015,31,17
Portland,2015,31,15
Saint Mary's,2015,30,20
San Diego,2015,30,14
San Francisco,2015,31,13
Santa Clara,2015,30,12
BYU,2016,36,25
Loyola Marymount,2016,30,13
Pacific,2016,26,6
Pepperdine,2016,31,17
Portland,2016,31,11
Saint Mary's,2016,34,28
San Diego,2016,29,8
San Francisco,2016,29,14
Santa Clara,2016,30,10
BYU,2017,34,22
Loyola Marymount,2017,29,15
Pacific,2017,32,11
Pepperdine,2017,30,9
Portland,2017,31,11
San Diego,2017,30,13
San Francisco,2017,32,20
Santa Clara,2017,32,17
BYU,2018,35,24
Loyola Marymount,2018,30,11
Pacific,2018,31,14
Pepperdine,2018,31,6
Portland,2018,29,10
Saint Mary's,2018,36,30
San Diego,2018,33,20
San Francisco,2018,38,22
Santa Clara,2018,29,11
BYU,2019,32,19
Loyola Marymount,2019,32,22
Pacific,2019,30,14
Pepperdine,2019,33,16
Portland,2019,30,7
San Diego,2019,35,21
San Francisco,2019,30,21
Santa Clara,2019,30,16
Abilene Christian,2014,21,2
Air Force,2014,28,10
Akron,2014,34,21
Alabama,2014,31,12
Alabama A&M,2014,28,12
Alabama St.,2014,29,16
Alcorn St.,2014,28,9
Appalachian St.,2014,26,5
Arkansas,2014,34,22
Arkansas Little Rock,2014,30,13
Arkansas Pine Bluff,2014,29,11
Arkansas St.,2014,30,17
Army,2014,30,14
Auburn,2014,30,14
Austin Peay,2014,28,10
Ball St.,2014,28,3
Belmont,2014,35,25
Bethune Cookman,2014,30,5
Binghamton,2014,30,7
Boise St.,2014,31,18
Boston College,2014,31,7
Boston University,2014,35,24
Bowling Green,2014,31,11
Bradley,2014,32,12
Brown,2014,28,14
Bryant,2014,31,17
Bucknell,2014,30,16
Buffalo,2014,28,18
Butler,2014,30,13
Cal St. Bakersfield,2014,31,12
Cal St. Fullerton,2014,31,11
Cal St. Northridge,2014,33,15
California,2014,35,21
Campbell,2014,28,9
Canisius,2014,33,21
Central Arkansas,2014,27,6
Central Connecticut,2014,29,10
Central Michigan,2014,29,8
Charleston Southern,2014,27,9
Charlotte,2014,31,17
Chattanooga,2014,30,15
Chicago St.,2014,30,11
Clemson,2014,36,23
Cleveland St.,2014,31,19
Colgate,2014,30,12
College of Charleston,2014,31,13
Colorado St.,2014,30,14
Columbia,2014,33,20
Coppin St.,2014,31,11
Cornell,2014,27,1
Dartmouth,2014,26,10
Davidson,2014,32,19
Delaware St.,2014,28,7
Denver,2014,30,15
DePaul,2014,33,12
Detroit,2014,30,11
Drake,2014,30,14
Drexel,2014,30,16
Duquesne,2014,30,13
East Carolina,2014,30,13
East Tennessee St.,2014,34,18
Eastern Illinois,2014,27,9
Eastern Michigan,2014,34,19
Eastern Washington,2014,29,13
Elon,2014,29,16
Evansville,2014,31,12
Fairfield,2014,32,7
Fairleigh Dickinson,2014,29,9
FIU,2014,28,13
Florida A&M,2014,30,12
Florida Atlantic,2014,30,8
Florida Gulf Coast,2014,33,20
Florida St.,2014,36,22
Fordham,2014,31,10
Fresno St.,2014,37,19
Furman,2014,27,7
Gardner Webb,2014,30,15
George Mason,2014,31,11
Georgetown,2014,33,18
Georgia,2014,34,20
Georgia Southern,2014,31,12
Georgia St.,2014,32,23
Georgia Tech,2014,33,16
Grambling St.,2014,27,4
Grand Canyon,2014,27,12
Green Bay,2014,28,21
Hampton,2014,30,17
Hartford,2014,33,17
Hawaii,2014,29,18
High Point,2014,29,14
Hofstra,2014,33,10
Holy Cross,2014,34,20
Houston,2014,33,17
Houston Baptist,2014,29,4
Howard,2014,31,6
Idaho,2014,33,15
Idaho St.,2014,27,9
Illinois,2014,35,20
Illinois Chicago,2014,29,4
Illinois St.,2014,33,17
Incarnate Word,2014,15,9
Indiana,2014,32,17
Indiana St.,2014,32,21
Iona,2014,33,22
IPFW,2014,33,22
IUPUI,2014,29,3
Jackson St.,2014,31,11
Jacksonville,2014,28,10
Jacksonville St.,2014,29,8
James Madison,2014,31,11
Kennesaw St.,2014,29,4
Kent St.,2014,31,15
La Salle,2014,31,15
Lafayette,2014,30,10
Lamar,2014,30,4
Lehigh,2014,32,14
Liberty,2014,29,8
Lipscomb,2014,29,14
LIU Brooklyn,2014,29,9
Long Beach St.,2014,30,13
Longwood,2014,28,4
Louisiana Monroe,2014,26,9
Louisiana Tech,2014,36,28
Loyola Chicago,2014,31,9
Loyola Marymount,2014,31,12
Loyola MD,2014,28,9
LSU,2014,34,20
Maine,2014,28,5
Marist,2014,31,12
Marquette,2014,32,17
Marshall,2014,31,9
Maryland,2014,32,17
Maryland Eastern Shore,2014,28,5
McNeese St.,2014,29,9
Miami FL,2014,33,17
Miami OH,2014,30,13
Middle Tennessee,2014,31,22
Minnesota,2014,37,24
Mississippi,2014,33,19
Mississippi St.,2014,33,14
Mississippi Valley St.,2014,29,6
Missouri,2014,35,23
Missouri St.,2014,32,19
Monmouth,2014,32,11
Montana,2014,28,15
Montana St.,2014,29,12
Morehead St.,2014,32,18
Morgan St.,2014,31,15
Murray St.,2014,32,21
Navy,2014,29,8
Nebraska Omaha,2014,29,14
Nevada,2014,32,15
