Pk,Team,Player,College,Year,Pro_height,Pro_weight,DOB
1,CLE,lebron-james,,2003,81.0,250.0,12/30/1984
2,DET,darko-milicic,,2003,84.0,250.0,6/20/1985
3,DEN,carmelo-anthony,Syracuse,2003,79.0,238.0,5/29/1984
4,TOR,chris-bosh,Georgia Tech,2003,83.0,235.0,3/24/1984
5,MIA,dwyane-wade,Marquette,2003,76.0,220.0,1/17/1982
6,LAC,chris-kaman,Central Michigan University,2003,84.0,265.0,4/28/1982
7,CHI,kirk-hinrich,Kansas,2003,76.0,190.0,1/2/1981
8,MIL,t.j.-ford,Texas,2003,72.0,165.0,3/24/1983
9,NYK,mike-sweetney,Georgetown,2003,80.0,275.0,10/25/1982
10,WAS,jarvis-hayes,Georgia,2003,79.0,220.0,8/9/1981
11,GSW,mickael-pietrus,,2003,78.0,215.0,2/7/1982
12,SEA,nick-collison,Kansas,2003,82.0,255.0,10/26/1980
13,MEM,marcus-banks,UNLV,2003,74.0,200.0,11/19/1981
14,SEA,luke-ridnour,Oregon,2003,74.0,175.0,2/13/1981
15,ORL,reece-gaines,Louisville,2003,78.0,205.0,1/7/1981
16,BOS,troy-bell,Boston College,2003,73.0,180.0,11/10/1980
17,PHO,zarko-cabarkapa,,2003,83.0,235.0,5/21/1981
18,NOH,david-west,Xavier,2003,81.0,250.0,8/29/1980
19,UTA,sasha-pavlovic,,2003,80.0,220.0,11/15/1983
20,BOS,dahntay-jones,Duke,2003,78.0,225.0,12/27/1980
21,ATL,boris-diaw,,2003,80.0,250.0,4/16/1982
22,NJN,zoran-planinic,,2003,79.0,195.0,9/12/1982
23,POR,travis-outlaw,,2003,81.0,210.0,9/18/1984
24,LAL,brian-cook,Illinois,2003,81.0,234.0,12/4/1980
25,DET,carlos-delfino,,2003,78.0,230.0,8/29/1982
26,MIN,ndudi-ebi,,2003,81.0,200.0,6/18/1984
27,MEM,kendrick-perkins,,2003,82.0,270.0,11/10/1984
28,SAS,leandro-barbosa,,2003,75.0,194.0,11/28/1982
29,DAL,josh-howard,Wake Forest,2003,79.0,210.0,4/28/1980
30,NYK,maciej-lampe,,2003,83.0,275.0,2/5/1985
31,CLE,jason-kapono,UCLA,2003,80.0,213.0,2/4/1981
32,LAL,luke-walton,Arizona,2003,80.0,235.0,3/28/1980
33,MIA,jerome-beasley,University of North Dakota,2003,82.0,237.0,5/17/1980
34,LAC,sofoklis-schortsanitis,,2003,82.0,345.0,6/22/1985
35,MIL,szymon-szewczyk,,2003,82.0,242.0,12/21/1982
36,CHI,mario-austin,Mississippi State,2003,81.0,264.0,2/26/1982
37,ATL,travis-hansen,BYU,2003,78.0,205.0,4/15/1978
38,WAS,steve-blake,Maryland,2003,75.0,172.0,2/26/1980
39,NYK,slavko-vranes,,2003,89.0,275.0,1/30/1983
40,GSW,derrick-zimmerman,Mississippi State,2003,75.0,195.0,12/2/1981
41,SEA,willie-green,Detroit Mercy,2003,76.0,200.0,7/28/1981
42,ORL,zaza-pachulia,,2003,83.0,270.0,2/10/1984
43,MIL,keith-bogans,Kentucky,2003,77.0,215.0,5/12/1980
44,HOU,malick-badiane,,2003,,,
45,CHI,matt-bonner,Florida,2003,82.0,235.0,4/5/1980
46,DEN,sani-becirovic,,2003,77.0,210.0,5/19/1981
47,UTA,mo-williams,Alabama,2003,73.0,198.0,12/19/1982
48,NOH,james-lang,,2003,82.0,285.0,10/17/1983
49,IND,james-jones,Miami (FL),2003,80.0,218.0,10/4/1980
50,PHI,paccelis-morlende,,2003,74.0,185.0,4/19/1981
51,NJN,kyle-korver,Creighton,2003,79.0,212.0,3/17/1981
52,TOR,remon-van-de-hare,,2003,,,
53,CHI,tommy-smith,Arizona State,2003,,,
54,POR,nedzad-sinanovic,,2003,88.0,250.0,1/29/1983
55,MIN,rick-rickert,Minnesota,2003,,,
56,BOS,brandon-hunter,Ohio University,2003,79.0,260.0,11/24/1980
57,DAL,xue-yuyang,,2003,84.0,265.0,11/4/1982
58,DET,andreas-glyniadakis,,2003,85.0,280.0,8/21/1981
1,ORL,dwight-howard,,2004,82.0,265.0,12/8/1985
2,CHA,emeka-okafor,UConn,2004,82.0,252.0,9/28/1982
3,CHI,ben-gordon,UConn,2004,75.0,200.0,4/4/1983
4,LAC,shaun-livingston,,2004,79.0,192.0,9/11/1985
5,WAS,devin-harris,Wisconsin,2004,75.0,185.0,2/27/1983
6,ATL,josh-childress,Stanford,2004,80.0,210.0,6/20/1983
7,PHO,luol-deng,Duke,2004,81.0,237.0,4/16/1985
8,TOR,rafael-araujo,BYU,2004,83.0,280.0,8/12/1980
9,PHI,andre-iguodala,Arizona,2004,78.0,215.0,1/28/1984
10,CLE,luke-jackson,Oregon,2004,79.0,215.0,11/6/1981
11,GSW,andris-biedrins,,2004,83.0,240.0,4/2/1986
12,SEA,robert-swift,,2004,84.0,245.0,12/3/1985
13,POR,sebastian-telfair,,2004,72.0,165.0,6/9/1985
14,UTA,kris-humphries,Minnesota,2004,81.0,235.0,2/6/1985
15,BOS,al-jefferson,,2004,82.0,289.0,1/4/1985
16,UTA,kirk-snyder,Nevada,2004,78.0,225.0,6/5/1983
17,ATL,josh-smith,,2004,81.0,225.0,12/5/1985
18,NOH,j.r.-smith,,2004,78.0,225.0,9/9/1985
19,MIA,dorell-wright,,2004,81.0,205.0,12/2/1985
20,DEN,jameer-nelson,Saint Joseph's,2004,72.0,190.0,2/9/1982
21,UTA,pavel-podkolzin,,2004,89.0,260.0,1/15/1985
22,NJN,viktor-khryapa,,2004,81.0,210.0,8/3/1982
23,POR,sergei-monia,,2004,80.0,220.0,4/15/1983
24,BOS,delonte-west,Saint Joseph's,2004,76.0,180.0,7/26/1983
25,BOS,tony-allen,Oklahoma State,2004,76.0,213.0,1/11/1982
26,SAC,kevin-martin,Western Carolina University,2004,79.0,199.0,2/1/1983
27,LAL,sasha-vujacic,,2004,79.0,195.0,3/8/1984
28,SAS,beno-udrih,,2004,75.0,205.0,7/5/1982
29,IND,david-harrison,Colorado,2004,84.0,280.0,8/15/1982
30,ORL,anderson-varejao,,2004,82.0,273.0,9/28/1982
31,CHI,jackson-vroman,Iowa State,2004,82.0,220.0,6/6/1981
32,WAS,peter-john-ramos,,2004,87.0,275.0,5/13/1985
33,LAC,lionel-chalmers,Xavier,2004,72.0,180.0,11/10/1980
34,ATL,donta-smith,Southeastern Illinois College,2004,79.0,215.0,11/27/1983
35,SEA,andre-emmett,Texas Tech,2004,77.0,230.0,8/27/1982
36,ORL,antonio-burks,Memphis,2004,73.0,200.0,2/25/1980
37,ATL,royal-ivey,Texas,2004,75.0,200.0,12/20/1981
38,CHI,chris-duhon,Duke,2004,73.0,185.0,8/31/1982
39,TOR,albert-miralles,,2004,82.0,243.0,5/14/1982
40,BOS,justin-reed,Ole Miss,2004,80.0,240.0,1/16/1982
41,SEA,david-young,NC Central,2004,,,
42,ATL,viktor-sanikidze,,2004,80.0,220.0,4/1/1986
43,NYK,trevor-ariza,UCLA,2004,80.0,215.0,6/30/1985
44,NOH,tim-pickett,Florida State,2004,,,
45,CHA,bernard-robinson,Michigan,2004,78.0,210.0,12/26/1980
46,POR,ha-seung-jin,,2004,87.0,305.0,8/4/1985
47,MIA,pape-sow,Cal State Fullerton,2004,82.0,250.0,11/22/1981
48,SAC,ricky-minard,Morehead State University,2004,,,
49,MEM,sergei-lishouk,,2004,83.0,250.0,3/31/1982
50,DAL,vassilis-spanoulis,,2004,76.0,195.0,8/7/1982
51,NJN,christian-drejer,Florida,2004,,,
52,SAS,romain-sato,Xavier,2004,,,
53,MIA,matt-freije,Vanderbilt,2004,82.0,240.0,10/2/1981
54,DET,rickey-paulding,Missouri,2004,,,
55,HOU,luis-flores,Manhattan College,2004,74.0,200.0,4/11/1981
56,LAL,marcus-douthit,Providence,2004,,,
57,SAS,sergei-karaulov,,2004,85.0,249.0,4/15/1982
58,MIN,blake-stepp,Gonzaga,2004,,,
59,IND,rashad-wright,Georgia,2004,,,
1,MIL,andrew-bogut,Utah,2005,84.0,260.0,11/28/1984
2,ATL,marvin-williams,UNC,2005,80.0,237.0,6/19/1986
3,UTA,deron-williams,Illinois,2005,75.0,200.0,6/26/1984
4,NOH,chris-paul,Wake Forest,2005,72.0,175.0,5/6/1985
5,CHA,raymond-felton,UNC,2005,73.0,205.0,6/26/1984
6,POR,martell-webster,,2005,79.0,230.0,12/4/1986
7,TOR,charlie-villanueva,UConn,2005,83.0,232.0,8/24/1984
8,NYK,channing-frye,Arizona,2005,84.0,255.0,5/17/1983
9,GSW,ike-diogu,Arizona State,2005,80.0,250.0,9/11/1983
10,LAL,andrew-bynum,,2005,84.0,285.0,10/27/1987
11,ORL,fran-vazquez,,2005,82.0,240.0,5/1/1983
12,LAC,yaroslav-korolev,,2005,81.0,203.0,5/7/1987
13,CHA,sean-may,UNC,2005,81.0,266.0,4/4/1984
14,MIN,rashad-mccants,UNC,2005,76.0,207.0,9/25/1984
15,NJN,antoine-wright,Texas A&M,2005,79.0,210.0,2/6/1984
16,TOR,joey-graham,Oklahoma State,2005,79.0,225.0,6/11/1982
17,IND,danny-granger,New Mexico,2005,81.0,222.0,4/20/1983
18,BOS,gerald-green,,2005,78.0,205.0,1/26/1986
19,MEM,hakim-warrick,Syracuse,2005,81.0,219.0,7/8/1982
20,DEN,julius-hodge,NC State,2005,79.0,210.0,11/18/1983
21,PHO,nate-robinson,Washington,2005,69.0,180.0,5/31/1984
22,DEN,jarrett-jack,Georgia Tech,2005,75.0,200.0,10/28/1983
23,SAC,francisco-garcia,Louisville,2005,79.0,195.0,12/31/1981
24,HOU,luther-head,Illinois,2005,75.0,185.0,11/26/1982
25,SEA,johan-petro,,2005,84.0,247.0,1/27/1986
26,DET,jason-maxiell,Cincinnati,2005,79.0,260.0,2/18/1983
27,POR,linas-kleiza,Missouri,2005,80.0,245.0,1/3/1985
28,SAS,ian-mahinmi,,2005,83.0,262.0,11/5/1986
29,MIA,wayne-simien,Kansas,2005,81.0,255.0,3/9/1983
30,NYK,david-lee,Florida,2005,81.0,245.0,4/29/1983
31,ATL,salim-stoudamire,Arizona,2005,73.0,179.0,10/11/1982
32,LAC,daniel-ewing,Duke,2005,75.0,185.0,3/26/1983
33,NOH,brandon-bass,LSU,2005,80.0,250.0,4/30/1985
34,UTA,c.j.-miles,,2005,78.0,220.0,3/18/1987
35,POR,ricky-sanchez,,2005,83.0,230.0,7/6/1987
36,MIL,ersan-ilyasova,,2005,81.0,235.0,5/15/1987
37,LAL,ronny-turiaf,Gonzaga,2005,82.0,249.0,1/13/1983
38,ORL,travis-diener,Marquette,2005,73.0,175.0,3/1/1982
39,LAL,von-wafer,Florida State,2005,77.0,210.0,7/21/1985
40,GSW,monta-ellis,,2005,75.0,185.0,10/26/1985
41,TOR,roko-ukic,,2005,77.0,183.0,5/12/1984
42,GSW,chris-taft,Pitt,2005,82.0,260.0,3/10/1985
43,NJN,mile-ilic,,2005,85.0,230.0,6/2/1984
44,ORL,martynas-andriuskevicius,,2005,86.0,240.0,3/12/1986
45,PHI,lou-williams,,2005,73.0,175.0,10/27/1986
46,IND,erazem-lorbek,,2005,82.0,250.0,2/21/1984
47,MIN,bracey-wright,Indiana,2005,75.0,210.0,7/1/1984
48,SEA,mickael-gelabale,,2005,79.0,215.0,5/22/1983
49,WAS,andray-blatche,,2005,83.0,235.0,8/22/1986
50,BOS,ryan-gomes,Providence,2005,79.0,250.0,9/1/1982
51,UTA,robert-whaley,Walsh University,2005,82.0,260.0,4/16/1982
52,DEN,axel-hervelle,,2005,81.0,223.0,12/5/1983
53,BOS,orien-greene,Louisiana,2005,76.0,208.0,2/4/1982
54,NYK,dijon-thompson,UCLA,2005,79.0,195.0,2/23/1983
55,SEA,lawrence-roberts,Mississippi State,2005,81.0,240.0,10/20/1982
56,DET,amir-johnson,,2005,81.0,240.0,5/1/1987
57,PHO,marcin-gortat,,2005,83.0,240.0,2/17/1984
58,TOR,uros-slokar,,2005,82.0,238.0,5/14/1983
59,ATL,cenk-akyol,,2005,78.0,195.0,4/16/1987
60,DET,alex-acker,Pepperdine,2005,77.0,185.0,1/21/1983
1,TOR,andrea-bargnani,,2006,84.0,245.0,10/26/1985
2,CHI,lamarcus-aldridge,Texas,2006,83.0,250.0,7/19/1985
3,CHA,adam-morrison,Gonzaga,2006,80.0,205.0,7/19/1984
4,POR,tyrus-thomas,LSU,2006,81.0,215.0,8/17/1986
5,ATL,shelden-williams,Duke,2006,81.0,250.0,10/21/1983
6,MIN,brandon-roy,Washington,2006,78.0,215.0,7/23/1984
7,BOS,randy-foye,Villanova,2006,76.0,213.0,9/24/1983
8,HOU,rudy-gay,UConn,2006,80.0,250.0,8/17/1986
9,GSW,patrick-o'bryant,Bradley,2006,84.0,260.0,6/20/1986
10,SEA,mouhamed-sene,,2006,83.0,230.0,5/12/1986
11,ORL,j.j.-redick,Duke,2006,75.0,200.0,6/24/1984
12,NOK,hilton-armstrong,UConn,2006,83.0,235.0,11/11/1984
13,PHI,thabo-sefolosha,,2006,78.0,215.0,5/2/1984
14,UTA,ronnie-brewer,Arkansas,2006,79.0,220.0,3/20/1985
15,NOK,cedric-simmons,NC State,2006,81.0,235.0,1/3/1986
16,CHI,rodney-carney,Memphis,2006,79.0,205.0,4/15/1984
17,IND,shawne-williams,Memphis,2006,81.0,225.0,2/16/1986
18,WAS,oleksiy-pecherov,,2006,84.0,232.0,12/8/1985
19,SAC,quincy-douby,Rutgers University,2006,75.0,175.0,5/16/1984
20,NYK,renaldo-balkman,South Carolina,2006,80.0,208.0,7/14/1984
21,PHO,rajon-rondo,Kentucky,2006,73.0,180.0,2/22/1986
22,NJN,marcus-williams,UConn,2006,75.0,205.0,12/3/1985
23,NJN,josh-boone,UConn,2006,82.0,237.0,11/21/1984
24,MEM,kyle-lowry,Villanova,2006,72.0,196.0,3/25/1986
25,CLE,shannon-brown,Michigan State,2006,76.0,205.0,11/29/1985
26,LAL,jordan-farmar,UCLA,2006,74.0,180.0,11/30/1986
27,PHO,sergio-rodriguez,,2006,75.0,176.0,6/12/1986
28,DAL,maurice-ager,Michigan State,2006,77.0,202.0,2/9/1984
29,NYK,mardy-collins,Temple,2006,78.0,220.0,8/4/1984
30,POR,joel-freeland,,2006,82.0,250.0,2/7/1987
31,POR,james-white,Cincinnati,2006,79.0,200.0,10/21/1982
32,HOU,steve-novak,Marquette,2006,82.0,225.0,6/13/1983
33,ATL,solomon-jones,South Florida,2006,82.0,230.0,7/16/1984
34,LAC,paul-davis,Michigan State,2006,83.0,270.0,7/21/1984
35,TOR,p.j.-tucker,Texas,2006,77.0,245.0,5/5/1985
36,MIN,craig-smith,Boston College,2006,79.0,250.0,11/10/1983
37,MIN,bobby-jones,Washington,2006,79.0,215.0,1/9/1984
38,GSW,kosta-perovic,,2006,86.0,240.0,2/19/1985
39,MIL,david-noel,UNC,2006,78.0,230.0,2/27/1984
40,SEA,denham-brown,UConn,2006,,,
41,ORL,james-augustine,Illinois,2006,82.0,235.0,2/27/1984
42,CLE,daniel-gibson,Texas,2006,74.0,190.0,2/27/1986
43,NOK,marcus-vinicius,,2006,80.0,225.0,5/31/1984
44,ORL,lior-eliyahu,,2006,81.0,225.0,9/9/1985
45,IND,alexander-johnson,Florida State,2006,81.0,240.0,2/8/1983
46,UTA,dee-brown,Illinois,2006,72.0,185.0,8/17/1984
47,UTA,paul-millsap,Louisiana Tech,2006,79.0,257.0,2/10/1985
48,WAS,vladimir-veremeenko,,2006,82.0,235.0,7/21/1984
49,DEN,leon-powe,California,2006,80.0,240.0,1/22/1984
50,CHA,ryan-hollins,UCLA,2006,84.0,240.0,10/10/1984
51,LAL,cheikh-samb,,2006,85.0,245.0,10/22/1984
52,LAC,guillermo-diaz,Miami (FL),2006,74.0,192.0,3/4/1985
53,SEA,yotam-halperin,,2006,77.0,210.0,1/24/1984
54,NJN,hassan-adams,Arizona,2006,76.0,220.0,6/20/1984
55,CLE,ejike-ugboaja,,2006,81.0,225.0,5/28/1985
56,TOR,edin-bavcic,,2006,82.0,242.0,6/5/1984
57,MIN,loukas-mavrokefalidis,,2006,,,
58,DAL,j.r.-pinnock,George Washington,2006,,,
59,SAS,damir-markota,,2006,82.0,225.0,12/26/1985
60,DET,will-blalock,Iowa State,2006,72.0,205.0,9/8/1983
1,POR,greg-oden,Ohio State,2007,84.0,250.0,1/22/1988
2,SEA,kevin-durant,Texas,2007,82.0,240.0,9/29/1988
3,ATL,al-horford,Florida,2007,81.0,240.0,6/3/1986
4,MEM,mike-conley,Ohio State,2007,73.0,175.0,10/11/1987
5,BOS,jeff-green,Georgetown,2007,80.0,235.0,8/28/1986
6,MIL,yi-jianlian,,2007,84.0,240.0,10/27/1987
7,MIN,corey-brewer,Florida,2007,81.0,186.0,3/5/1986
8,CHA,brandan-wright,UNC,2007,82.0,210.0,10/5/1987
9,CHI,joakim-noah,Florida,2007,83.0,230.0,2/25/1985
10,SAC,spencer-hawes,Washington,2007,85.0,245.0,4/28/1988
11,ATL,acie-law,Texas A&M,2007,75.0,195.0,1/25/1985
12,PHI,thaddeus-young,Georgia Tech,2007,80.0,235.0,6/21/1988
13,NOK,julian-wright,Kansas,2007,80.0,225.0,5/20/1987
14,LAC,al-thornton,Florida State,2007,80.0,220.0,12/7/1983
15,DET,rodney-stuckey,Eastern Washington,2007,77.0,210.0,4/21/1986
16,WAS,nick-young,USC,2007,79.0,210.0,6/1/1985
17,NJN,sean-williams,Boston College,2007,82.0,235.0,9/13/1986
18,GSW,marco-belinelli,,2007,77.0,220.0,3/25/1986
19,LAL,javaris-crittenton,Georgia Tech,2007,77.0,200.0,12/31/1987
20,MIA,jason-smith,Colorado State,2007,84.0,240.0,3/2/1986
21,PHI,daequan-cook,Ohio State,2007,77.0,205.0,4/28/1987
22,CHA,jared-dudley,Boston College,2007,78.0,237.0,7/10/1985
23,NYK,wilson-chandler,DePaul,2007,80.0,235.0,5/10/1987
24,PHO,rudy-fernandez,,2007,78.0,185.0,4/4/1985
25,UTA,morris-almond,Rice University,2007,78.0,225.0,2/2/1985
26,HOU,aaron-brooks,Oregon,2007,72.0,161.0,1/14/1985
27,DET,arron-afflalo,UCLA,2007,77.0,210.0,10/15/1985
28,SAS,tiago-splitter,,2007,83.0,245.0,1/1/1985
29,PHO,alando-tucker,Wisconsin,2007,78.0,205.0,2/11/1984
30,PHI,petteri-koponen,,2007,76.0,195.0,4/13/1988
31,SEA,carl-landry,Purdue,2007,81.0,248.0,9/19/1983
32,BOS,gabe-pruitt,USC,2007,76.0,170.0,4/19/1986
33,SAS,marcus-williams,Arizona,2007,79.0,205.0,11/18/1986
34,DAL,nick-fazekas,Nevada,2007,83.0,235.0,6/17/1985
35,SEA,glen-davis,LSU,2007,81.0,289.0,1/1/1986
36,GSW,jermareo-davidson,Alabama,2007,82.0,230.0,11/15/1984
37,POR,josh-mcroberts,Duke,2007,82.0,240.0,2/28/1987
38,PHI,kyrylo-fesenko,,2007,85.0,288.0,12/24/1986
39,MIA,stanko-barac,,2007,85.0,240.0,8/14/1986
40,LAL,sun-yue,,2007,81.0,205.0,11/6/1985
41,MIN,chris-richard,Florida,2007,81.0,270.0,12/25/1984
42,POR,derrick-byars,Vanderbilt,2007,79.0,220.0,4/25/1984
43,NOK,adam-haluska,Iowa,2007,,,
44,ORL,reyshawn-terry,UNC,2007,,,
45,LAC,jared-jordan,Marist College,2007,,,
46,GSW,stephane-lasme,UMass,2007,80.0,215.0,12/17/1982
47,WAS,dominic-mcguire,Fresno State,2007,81.0,220.0,10/20/1985
48,LAL,marc-gasol,,2007,83.0,255.0,1/29/1985
49,CHI,aaron-gray,Pitt,2007,84.0,270.0,12/7/1984
50,DAL,renaldas-seibutis,,2007,78.0,185.0,7/23/1985
51,CHI,jameson-curry,Oklahoma State,2007,75.0,190.0,1/7/1986
52,POR,taurean-green,Florida,2007,72.0,177.0,11/28/1986
53,POR,demetris-nichols,Syracuse,2007,80.0,216.0,9/4/1984
54,HOU,brad-newley,,2007,78.0,205.0,2/18/1985
55,UTA,herbert-hill,Providence,2007,,,
56,MIL,ramon-sessions,Nevada,2007,75.0,190.0,4/11/1986
57,DET,sammy-mejia,DePaul,2007,,,
58,SAS,georgios-printezis,,2007,81.0,240.0,2/22/1985
59,PHO,d.j.-strawberry,Maryland,2007,77.0,201.0,6/15/1985
60,DAL,milovan-rakovic,,2007,82.0,280.0,2/19/1985
1,CHI,derrick-rose,Memphis,2008,74.0,200.0,10/4/1988
2,MIA,michael-beasley,Kansas State,2008,81.0,235.0,1/9/1989
3,MIN,o.j.-mayo,USC,2008,77.0,210.0,11/5/1987
4,SEA,russell-westbrook,UCLA,2008,75.0,200.0,11/12/1988
5,MEM,kevin-love,UCLA,2008,80.0,251.0,9/7/1988
6,NYK,danilo-gallinari,,2008,82.0,233.0,8/8/1988
7,LAC,eric-gordon,Indiana,2008,75.0,215.0,12/25/1988
8,MIL,joe-alexander,West Virginia,2008,80.0,230.0,12/26/1986
9,CHA,d.j.-augustin,Texas,2008,71.0,183.0,11/10/1987
10,NJN,brook-lopez,Stanford,2008,84.0,282.0,4/1/1988
11,IND,jerryd-bayless,Arizona,2008,75.0,200.0,8/20/1988
12,SAC,jason-thompson,Rider University,2008,83.0,250.0,7/21/1986
13,POR,brandon-rush,Kansas,2008,78.0,220.0,7/7/1985
14,GSW,anthony-randolph,LSU,2008,82.0,205.0,7/15/1989
15,PHO,robin-lopez,Stanford,2008,84.0,281.0,4/1/1988
16,PHI,marreese-speights,Florida,2008,82.0,255.0,8/4/1987
17,TOR,roy-hibbert,Georgetown,2008,86.0,270.0,12/11/1986
18,WAS,javale-mcgee,Nevada,2008,84.0,270.0,1/19/1988
19,CLE,j.j.-hickson,NC State,2008,81.0,242.0,9/4/1988
20,CHA,alexis-ajinca,,2008,86.0,248.0,5/6/1988
21,NJN,ryan-anderson,California,2008,81.0,240.0,5/6/1988
22,ORL,courtney-lee,Western Kentucky,2008,77.0,215.0,10/3/1985
23,UTA,kosta-koufos,Ohio State,2008,84.0,245.0,2/24/1989
24,SEA,serge-ibaka,,2008,82.0,235.0,9/18/1989
25,HOU,nicolas-batum,,2008,80.0,230.0,12/14/1988
26,SAS,george-hill,IUPUI,2008,76.0,188.0,5/4/1986
27,NOH,darrell-arthur,Kansas,2008,81.0,235.0,3/25/1988
28,MEM,donte-greene,Syracuse,2008,83.0,226.0,2/21/1988
29,DET,d.j.-white,Indiana,2008,81.0,251.0,8/31/1986
30,BOS,j.r.-giddens,New Mexico,2008,77.0,215.0,2/13/1985
31,MIN,nikola-pekovic,,2008,83.0,307.0,1/3/1986
32,SEA,walter-sharpe,UAB,2008,81.0,245.0,7/18/1986
33,POR,joey-dorsey,Memphis,2008,80.0,268.0,12/16/1983
34,MIN,mario-chalmers,Kansas,2008,74.0,190.0,5/19/1986
35,LAC,deandre-jordan,Texas A&M,2008,83.0,265.0,7/21/1988
36,POR,omer-ask,,2008,84.0,255.0,7/4/1986
37,MIL,luc-mbah-a-moute,UCLA,2008,80.0,230.0,9/9/1986
38,CHA,kyle-weaver,Washington State,2008,78.0,201.0,2/18/1986
39,CHI,sonny-weems,Arkansas,2008,78.0,205.0,7/8/1986
40,NJN,chris-douglas-roberts,Memphis,2008,79.0,200.0,1/8/1987
41,IND,nathan-jawai,,2008,82.0,280.0,10/10/1986
42,SAC,sean-singletary,Virginia,2008,72.0,185.0,9/6/1985
43,SAC,patrick-ewing,Georgetown,2008,80.0,235.0,5/20/1984
44,UTA,ante-tomic,,2008,86.0,265.0,2/17/1987
45,SAS,goran-dragic,,2008,75.0,190.0,5/6/1986
46,SEA,trent-plaisted,Brigham Young University Hawaii,2008,,,
47,WAS,henry-walker,Kansas State,2008,78.0,220.0,10/9/1987
48,PHO,malik-hairston,Oregon,2008,78.0,220.0,2/23/1987
49,GSW,richard-hendrix,Alabama,2008,,,
50,SEA,devon-hardin,California,2008,83.0,250.0,8/7/1986
51,DAL,shan-foster,Vanderbilt,2008,,,
52,MIA,darnell-jackson,Kansas,2008,81.0,253.0,11/7/1985
53,UTA,tadija-dragicevic,,2008,81.0,222.0,1/28/1986
54,HOU,maarty-leunen,Oregon,2008,81.0,220.0,9/3/1985
55,POR,mike-taylor,Iowa State,2008,74.0,165.0,1/21/1986
56,SEA,sasha-kaun,Kansas,2008,83.0,260.0,5/8/1985
57,SAS,james-gist,Maryland,2008,,,
58,LAL,joe-crawford,Kentucky,2008,77.0,210.0,6/17/1986
59,DET,deron-washington,Virginia Tech,2008,,,
60,BOS,semih-erden,,2008,84.0,240.0,7/28/1986
1,LAC,blake-griffin,Oklahoma,2009,81.0,250.0,3/16/1989
2,MEM,hasheem-thabeet,UConn,2009,87.0,263.0,2/16/1987
3,OKC,james-harden,Arizona State,2009,77.0,220.0,8/26/1989
4,SAC,tyreke-evans,Memphis,2009,78.0,220.0,9/19/1989
5,MIN,ricky-rubio,,2009,75.0,190.0,10/21/1990
6,MIN,jonny-flynn,Syracuse,2009,72.0,185.0,2/6/1989
7,GSW,stephen-curry,Davidson,2009,75.0,185.0,3/14/1988
8,NYK,jordan-hill,Arizona,2009,82.0,235.0,7/27/1987
9,TOR,demar-derozan,USC,2009,78.0,220.0,8/7/1989
10,MIL,brandon-jennings,,2009,73.0,170.0,9/23/1989
11,NJN,terrence-williams,Louisville,2009,78.0,220.0,6/28/1987
